"ID","Duration (in seconds)","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Intergroup_dominance_Q1","Intergroup_dominance_Q2","Intergroup_dominance_Q3","Intergroup_dominance_Q4","Intergroup_dominance_Q5","Intergroup_dominance_Q6","Intergroup_dominance_Q7","Intergroup_dominance_Q8","Antiegalitarian_Q1","Antiegalitarian_Q2","Antiegalitarian_Q3","Antiegalitarian_Q4","Antiegalitarian_Q5","Antiegalitarian_Q6","Antiegalitarian_Q7","Antiegalitarian_Q8","SC0"
60,"133",NA,NA,NA,NA,NA,NA,NA,"Neutral","Somewhat Agree","Somewhat Disagree","Slightly Agree","Strongly Agree","Somewhat Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40"
61,"255",NA,"6","265","445","At least 23 ;)","69","185","Neutral","Slightly Agree","Neutral","Strongly Agree","Neutral","Neutral","Neutral","Somewhat Disagree","Neutral","Slightly Disagree","Neutral","Somewhat Disagree","Somewhat Agree","Slightly Disagree","Slightly Agree","Slightly Agree","75"
62,"237","4","2","120","190","6","67","120","Slightly Agree","Slightly Agree","Slightly Agree","Somewhat Disagree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","86"
63,"244",NA,"6-7 days","130","150","8","69","147","Slightly Agree","Somewhat Disagree","Slightly Agree","Slightly Disagree","Strongly Agree","Slightly Disagree","Slightly Disagree","Neutral","Strongly Agree","Slightly Disagree","Somewhat Disagree","Slightly Disagree","Somewhat Disagree","Somewhat Agree","Slightly Disagree","Somewhat Disagree","72"
64,"134",NA,"5","225","275","3","6’0","199","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Strongly Disagree","Neutral","55"
65,"261","5","2","50","80","0","5’2","126","Neutral","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree",NA,NA,"Strongly Disagree","Neutral","Neutral","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","73"
66,"357","7","6","80","225","0","64","130","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Somewhat Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Agree","Slightly Agree","Strongly Agree","Strongly Agree","73"
67,"747",NA,"5","700","600","1","69","300","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Neutral","Somewhat Disagree","Strongly Agree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Disagree","92"
68,"873",NA,"3","150","250","20","62","115","Slightly Agree","Slightly Agree","Somewhat Agree","Strongly Agree","Somewhat Disagree","Slightly Agree","Neutral","Neutral","Strongly Disagree","Strongly Disagree","Somewhat Disagree","Strongly Disagree","Strongly Disagree","Strongly Agree","Strongly Agree","Strongly Agree","76"
69,"416","5","5-7 days","30lbs","90lbs","0","66","164","Somewhat Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Disagree","Neutral","Strongly Agree","Somewhat Agree","Neutral","Slightly Disagree","Somewhat Agree","Slightly Agree","103"
